"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2000","2000","AVSCORE","Average score","0","Units",,,513,,
"AUS","Australia","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,506,,
"AUS","Australia","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,495,,
"AUS","Australia","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,496,,
"AUS","Australia","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2000","2000","AVSCORE","Average score","0","Units",,,546,,
"AUS","Australia","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,545,,
"AUS","Australia","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,532,,
"AUS","Australia","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,533,,
"AUS","Australia","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,527,,
"AUS","Australia","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,527,,
"AUS","Australia","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,519,,
"AUS","Australia","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,522,,
"AUS","Australia","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,513,,
"AUS","Australia","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,509,,
"AUS","Australia","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,527,,
"AUS","Australia","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,527,,
"AUS","Australia","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,527,,
"AUS","Australia","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,528,,
"AUT","Austria","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2000","2000","AVSCORE","Average score","0","Units",,,476,,
"AUT","Austria","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,467,,
"AUT","Austria","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,468,,
"AUT","Austria","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2000","2000","AVSCORE","Average score","0","Units",,,509,,
"AUT","Austria","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,514,,
"AUT","Austria","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,513,,
"AUT","Austria","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,509,,
"AUT","Austria","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,517,,
"AUT","Austria","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,502,,
"AUT","Austria","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,494,,
"AUT","Austria","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,515,,
"AUT","Austria","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,507,,
"BEL","Belgium","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2000","2000","AVSCORE","Average score","0","Units",,,492,,
"BEL","Belgium","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,489,,
"BEL","Belgium","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,482,,
"BEL","Belgium","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,493,,
"BEL","Belgium","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2000","2000","AVSCORE","Average score","0","Units",,,525,,
"BEL","Belgium","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,526,,
"BEL","Belgium","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,522,,
"BEL","Belgium","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,520,,
"BEL","Belgium","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,533,,
"BEL","Belgium","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,524,,
"BEL","Belgium","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,526,,
"BEL","Belgium","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,525,,
"BEL","Belgium","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,517,,
"BEL","Belgium","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,504,,
"BEL","Belgium","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,511,,
"BEL","Belgium","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,510,,
"BEL","Belgium","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,510,,
"BEL","Belgium","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,503,,
"CAN","Canada","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2000","2000","AVSCORE","Average score","0","Units",,,519,,
"CAN","Canada","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,514,,
"CAN","Canada","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,511,,
"CAN","Canada","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,507,,
"CAN","Canada","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2000","2000","AVSCORE","Average score","0","Units",,,551,,
"CAN","Canada","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,546,,
"CAN","Canada","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,543,,
"CAN","Canada","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,542,,
"CAN","Canada","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,541,,
"CAN","Canada","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,534,,
"CAN","Canada","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,533,,
"CAN","Canada","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,530,,
"CAN","Canada","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,520,,
"CAN","Canada","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,521,,
"CAN","Canada","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,536,,
"CAN","Canada","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,531,,
"CAN","Canada","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,532,,
"CAN","Canada","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,526,,
"CZE","Czech Republic","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2000","2000","AVSCORE","Average score","0","Units",,,473,,
"CZE","Czech Republic","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,473,,
"CZE","Czech Republic","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,463,,
"CZE","Czech Republic","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,456,,
"CZE","Czech Republic","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2000","2000","AVSCORE","Average score","0","Units",,,510,,
"CZE","Czech Republic","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,504,,
"CZE","Czech Republic","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,509,,
"CZE","Czech Republic","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,504,,
"CZE","Czech Republic","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,524,,
"CZE","Czech Republic","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,514,,
"CZE","Czech Republic","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,495,,
"CZE","Czech Republic","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,509,,
"CZE","Czech Republic","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,504,,
"CZE","Czech Republic","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,490,,
"CZE","Czech Republic","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,515,,
"CZE","Czech Republic","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,498,,
"CZE","Czech Republic","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,510,,
"CZE","Czech Republic","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,503,,
"DNK","Denmark","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2000","2000","AVSCORE","Average score","0","Units",,,485,,
"DNK","Denmark","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,479,,
"DNK","Denmark","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,480,,
"DNK","Denmark","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,480,,
"DNK","Denmark","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2000","2000","AVSCORE","Average score","0","Units",,,510,,
"DNK","Denmark","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,505,,
"DNK","Denmark","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,509,,
