"LOCATION","Country","INDICATOR","Indicator","SEX","Sex","AGE","Age","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IND","India","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,15.52733754,,
"LUX","Luxembourg","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,38.25013257,,
"FIN","Finland","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,45.0138067,,
"ESP","Spain","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,46.75459958,,
"SVK","Slovak Republic","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,38.06875438,,
"FRA","France","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,16.93417661,,
"HUN","Hungary","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,36.27386496,,
"NLD","Netherlands","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,37.80048076,,
"CHN","China (People's Republic of)","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,21.2254119,,
"RUS","Russia","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,45.22126999,,
"GBR","United Kingdom","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,27.40563816,,
"AUT","Austria","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,54.49775151,,
"GRC","Greece","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,33.17656901,,
"ZAF","South Africa","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,26.57725319,,
"POL","Poland","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,39.86836881,,
"NZL","New Zealand","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,72.04061096,,
"ISR","Israel","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,28.55310749,,
"BRA","Brazil","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,25.91416503,,
"BEL","Belgium","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,32.12875046,,
"DNK","Denmark","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,51.74693307,,
"ITA","Italy","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,10.21521925,,
"CZE","Czech Republic","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,36.83361233,,
"LUX","Luxembourg","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,61.24387395,,
"MEX","Mexico","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,16.49986089,,
"JPN","Japan","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,21.57800581,,
"AUS","Australia","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,67.87124529,,
"ISR","Israel","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,43.45109098,,
"POL","Poland","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,20.85764992,,
"SVN","Slovenia","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,26.38313807,,
"BEL","Belgium","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,54.74050672,,
"IDN","Indonesia","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,15.50599002,,
"ISL","Iceland","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,34.6924627,,
"BRA","Brazil","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,16.67698711,,
"USA","United States","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,60.34729139,,
"CHN","China (People's Republic of)","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,27.73446352,,
"ZAF","South Africa","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,31.24022294,,
"GBR","United Kingdom","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,54.71667404,,
"GRC","Greece","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,8.219400813,,
"SWE","Sweden","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,49.67826198,,
"IRL","Ireland","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,58.89643632,,
"RUS","Russia","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,21.30348072,,
"EST","Estonia","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,64.07049311,,
"AUS","Australia","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,65.74511029,,
"SVK","Slovak Republic","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,20.06593203,,
"ITA","Italy","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,12.25988247,,
"JPN","Japan","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,31.33206159,,
"HUN","Hungary","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,13.19580524,,
"ESP","Spain","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,18.52077348,,
"TUR","Turkey","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,17.71165922,,
"IND","India","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,13.29508886,,
"BRA","Brazil","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,24.21941798,,
"DEU","Germany","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,38.27266245,,
"IRL","Ireland","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,69.38728528,,
"POL","Poland","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,24.64819787,,
"CHL","Chile","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,29.03382204,,
"IDN","Indonesia","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,19.02876222,,
"DNK","Denmark","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,35.7012441,,
"RUS","Russia","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,30.26923675,,
"GRC","Greece","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,9.726008353,,
"PRT","Portugal","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,49.46187385,,
"NZL","New Zealand","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,46.30127286,,
"CHN","China (People's Republic of)","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,32.99676027,,
"CAN","Canada","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,64.7106573,,
"FRA","France","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,40.08104927,,
"ESP","Spain","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,54.83145572,,
"LUX","Luxembourg","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,44.27863986,,
"AUS","Australia","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,41.32367029,,
"CZE","Czech Republic","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,23.43328132,,
"MEX","Mexico","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,17.23223071,,
"ZAF","South Africa","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,30.80612419,,
"IDN","Indonesia","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,34.02100906,,
"DNK","Denmark","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,60.28686217,,
"GBR","United Kingdom","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,46.39714745,,
"AUT","Austria","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,61.50527793,,
