"LOCATION","Country","INDICATOR","Indicator","SEX","Sex","AGE","Age","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","ENT6","Feasibility of self-employment","MEN","Men","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,40.09962,,
"AUT","Austria","ENT6","Feasibility of self-employment","MEN","Men","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,42.4482,,
"AUT","Austria","ENT6","Feasibility of self-employment","WOMEN","Women","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,26.02789,,
"AUT","Austria","ENT6","Feasibility of self-employment","WOMEN","Women","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,32.94526,,
"BEL","Belgium","ENT6","Feasibility of self-employment","MEN","Men","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,16.80958,,
"BEL","Belgium","ENT6","Feasibility of self-employment","MEN","Men","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,30.10042,,
"BEL","Belgium","ENT6","Feasibility of self-employment","WOMEN","Women","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,10.93029,,
"BEL","Belgium","ENT6","Feasibility of self-employment","WOMEN","Women","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,19.18257,,
"CZE","Czech Republic","ENT6","Feasibility of self-employment","MEN","Men","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,20.00379,,
"CZE","Czech Republic","ENT6","Feasibility of self-employment","MEN","Men","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,23.80938,,
"CZE","Czech Republic","ENT6","Feasibility of self-employment","WOMEN","Women","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,12.29499,,
"CZE","Czech Republic","ENT6","Feasibility of self-employment","WOMEN","Women","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,17.19116,,
"DNK","Denmark","ENT6","Feasibility of self-employment","MEN","Men","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,49.60794,,
"DNK","Denmark","ENT6","Feasibility of self-employment","MEN","Men","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,39.12368,,
