"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EDU_12_READ","Low-achieving students, Reading","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,19.017,,
"AUS","Australia","EDU_12_READ","Low-achieving students, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,9.073,,
"AUS","Australia","EDU_12_MATH","Low-achieving students, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,18.273,,
"AUS","Australia","EDU_12_MATH","Low-achieving students, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,21.146,,
"AUS","Australia","EDU_12_SCI","Low-achieving students, Science","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,13.924,,
"AUS","Australia","EDU_12_SCI","Low-achieving students, Science","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,13.35,,
"AUT","Austria","EDU_12_READ","Low-achieving students, Reading","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,26.229,,
"AUT","Austria","EDU_12_READ","Low-achieving students, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,12.789,,
"AUT","Austria","EDU_12_MATH","Low-achieving students, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,16.106,,
"AUT","Austria","EDU_12_MATH","Low-achieving students, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,21.19,,
"AUT","Austria","EDU_12_SCI","Low-achieving students, Science","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,16.206,,
"AUT","Austria","EDU_12_SCI","Low-achieving students, Science","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,15.365,,
"BEL","Belgium","EDU_12_READ","Low-achieving students, Reading","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,20.357,,
"BEL","Belgium","EDU_12_READ","Low-achieving students, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,11.763,,
"BEL","Belgium","EDU_12_MATH","Low-achieving students, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,18.597,,
"BEL","Belgium","EDU_12_MATH","Low-achieving students, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,19.333,,
"BEL","Belgium","EDU_12_SCI","Low-achieving students, Science","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,18.608,,
"BEL","Belgium","EDU_12_SCI","Low-achieving students, Science","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,16.812,,
"CAN","Canada","EDU_12_READ","Low-achieving students, Reading","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,15.196,,
"CAN","Canada","EDU_12_READ","Low-achieving students, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,6.609,,
"CAN","Canada","EDU_12_MATH","Low-achieving students, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,13.4,,
"CAN","Canada","EDU_12_MATH","Low-achieving students, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,14.254,,
"CAN","Canada","EDU_12_SCI","Low-achieving students, Science","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,11.127,,
"CAN","Canada","EDU_12_SCI","Low-achieving students, Science","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,9.708,,
"CZE","Czech Republic","EDU_12_READ","Low-achieving students, Reading","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,22.811,,
"CZE","Czech Republic","EDU_12_READ","Low-achieving students, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,10.609,,
"CZE","Czech Republic","EDU_12_MATH","Low-achieving students, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,19.281,,
"CZE","Czech Republic","EDU_12_MATH","Low-achieving students, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,22.734,,
"CZE","Czech Republic","EDU_12_SCI","Low-achieving students, Science","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,14.605,,
"CZE","Czech Republic","EDU_12_SCI","Low-achieving students, Science","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,12.914,,
"DNK","Denmark","EDU_12_READ","Low-achieving students, Reading","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,19.171,,
"DNK","Denmark","EDU_12_READ","Low-achieving students, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,10.071,,
"DNK","Denmark","EDU_12_MATH","Low-achieving students, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,15.115,,
"DNK","Denmark","EDU_12_MATH","Low-achieving students, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,18.584,,
"DNK","Denmark","EDU_12_SCI","Low-achieving students, Science","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,16.422,,
"DNK","Denmark","EDU_12_SCI","Low-achieving students, Science","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,16.962,,
"FIN","Finland","EDU_12_READ","Low-achieving students, Reading","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,17.739,,
"FIN","Finland","EDU_12_READ","Low-achieving students, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,4.604,,
"FIN","Finland","EDU_12_MATH","Low-achieving students, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,14.05,,
"FIN","Finland","EDU_12_MATH","Low-achieving students, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,10.386,,
"FIN","Finland","EDU_12_SCI","Low-achieving students, Science","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,9.655,,
"FIN","Finland","EDU_12_SCI","Low-achieving students, Science","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,5.622,,
"FRA","France","EDU_12_READ","Low-achieving students, Reading","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,25.481,,
"FRA","France","EDU_12_READ","Low-achieving students, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,12.71,,
"FRA","France","EDU_12_MATH","Low-achieving students, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,22.345,,
"FRA","France","EDU_12_MATH","Low-achieving students, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,22.363,,
"FRA","France","EDU_12_SCI","Low-achieving students, Science","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,20.533,,
"FRA","France","EDU_12_SCI","Low-achieving students, Science","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,17.045,,
"DEU","Germany","EDU_12_READ","Low-achieving students, Reading","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,20.129,,
"DEU","Germany","EDU_12_READ","Low-achieving students, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,8.654,,
"DEU","Germany","EDU_12_MATH","Low-achieving students, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,16.796,,
"DEU","Germany","EDU_12_MATH","Low-achieving students, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,18.715,,
"DEU","Germany","EDU_12_SCI","Low-achieving students, Science","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,12.908,,
"DEU","Germany","EDU_12_SCI","Low-achieving students, Science","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,11.496,,
"GRC","Greece","EDU_12_READ","Low-achieving students, Reading","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,32.163,,
"GRC","Greece","EDU_12_READ","Low-achieving students, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,13.271,,
"GRC","Greece","EDU_12_MATH","Low-achieving students, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,34.477,,
"GRC","Greece","EDU_12_MATH","Low-achieving students, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,36.879,,
"GRC","Greece","EDU_12_SCI","Low-achieving students, Science","BOYS","Boys","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,29.845,,
