"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","EDU_6","Successful completion of upper secondary programmes","MEN","Men","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,64.926953207707,,
"AUT","Austria","EDU_6","Successful completion of upper secondary programmes","WOMEN","Women","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,76.1904761904762,,
"BEL","Belgium","EDU_6","Successful completion of upper secondary programmes","MEN","Men","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,64.7223192455466,,
"BEL","Belgium","EDU_6","Successful completion of upper secondary programmes","WOMEN","Women","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,77.1287186694776,,
"CAN","Canada","EDU_6","Successful completion of upper secondary programmes","MEN","Men","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,69.1764083254932,,
"CAN","Canada","EDU_6","Successful completion of upper secondary programmes","WOMEN","Women","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,76.7815033393867,,
"DNK","Denmark","EDU_6","Successful completion of upper secondary programmes","MEN","Men","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,55.6262682161963,,
"DNK","Denmark","EDU_6","Successful completion of upper secondary programmes","WOMEN","Women","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,64.7042649395087,,
"FIN","Finland","EDU_6","Successful completion of upper secondary programmes","MEN","Men","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,69.5786049514539,,
"FIN","Finland","EDU_6","Successful completion of upper secondary programmes","WOMEN","Women","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,71.708754402523,,
"FRA","France","EDU_6","Successful completion of upper secondary programmes","MEN","Men","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,54.2230383773251,,
"FRA","France","EDU_6","Successful completion of upper secondary programmes","WOMEN","Women","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,63.6639658495732,,
"HUN","Hungary","EDU_6","Successful completion of upper secondary programmes","MEN","Men","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,81.0524229511446,,
"HUN","Hungary","EDU_6","Successful completion of upper secondary programmes","WOMEN","Women","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,86.1399643269332,,
