"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,70.5,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","TOTAL","Total","1991","1991","PC","Percentage","0","Units",,,67.3,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","TOTAL","Total","1992","1992","PC","Percentage","0","Units",,,65.8,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","TOTAL","Total","1993","1993","PC","Percentage","0","Units",,,65.1,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","TOTAL","Total","1994","1994","PC","Percentage","0","Units",,,66.3,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,67.4,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","TOTAL","Total","1996","1996","PC","Percentage","0","Units",,,67.2,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","TOTAL","Total","1997","1997","PC","Percentage","0","Units",,,66.7,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","TOTAL","Total","1998","1998","PC","Percentage","0","Units",,,66.9,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","TOTAL","Total","1999","1999","PC","Percentage","0","Units",,,67.2,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,67.4,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","TOTAL","Total","2001","2001","PC","Percentage","0","Units",,,66.8,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","TOTAL","Total","2002","2002","PC","Percentage","0","Units",,,67.1,,
