"LOCATION","Country","INDICATOR","Indicator","SEX","Sex","AGE","Age","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","ENT9","Share of the population who report borrowing money to start a business","MEN","Men","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,4.806838,,
"AUS","Australia","ENT9","Share of the population who report borrowing money to start a business","WOMEN","Women","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,1.466289,,
"AUT","Austria","ENT9","Share of the population who report borrowing money to start a business","MEN","Men","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,5.657159,,
"AUT","Austria","ENT9","Share of the population who report borrowing money to start a business","WOMEN","Women","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,1.62945,,
"BEL","Belgium","ENT9","Share of the population who report borrowing money to start a business","MEN","Men","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,3.377014,,
"BEL","Belgium","ENT9","Share of the population who report borrowing money to start a business","WOMEN","Women","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,2.561637,,
"CAN","Canada","ENT9","Share of the population who report borrowing money to start a business","MEN","Men","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,4.729784,,
"CAN","Canada","ENT9","Share of the population who report borrowing money to start a business","WOMEN","Women","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,1.846549,,
"CZE","Czech Republic","ENT9","Share of the population who report borrowing money to start a business","MEN","Men","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,1.830068,,
"CZE","Czech Republic","ENT9","Share of the population who report borrowing money to start a business","WOMEN","Women","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,1.146115,,
"DNK","Denmark","ENT9","Share of the population who report borrowing money to start a business","MEN","Men","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,1.589643,,
"DNK","Denmark","ENT9","Share of the population who report borrowing money to start a business","WOMEN","Women","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,1.278314,,
"FIN","Finland","ENT9","Share of the population who report borrowing money to start a business","MEN","Men","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,3.334253,,
"FIN","Finland","ENT9","Share of the population who report borrowing money to start a business","WOMEN","Women","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,0.9233691,,
